Departamento,Año,total_actos,Poblacion,actos_per_capita,promedio_año,desviacion_pct
Cesar,2023,428479.0,1410147.0,0.30385413719278914,0.46865888333774874,-35.17
Cesar,2024,446442.0,1440484.0,0.3099249974314189,0.48624599164925736,-36.26
Cesar,2025,502404.0,1469159.0,0.34196707095692164,0.5384586922773076,-36.49
Chocó,2021,75072.0,564382.0,0.13301629038488116,0.4825325455933578,-72.43
Chocó,2022,73272.0,572258.0,0.12804014972267752,0.49466079606957686,-74.12
Chocó,2023,58679.0,579442.0,0.10126811656731821,0.46865888333774874,-78.39
Chocó,2024,68865.0,586128.0,0.11749140119564327,0.48624599164925736,-75.84
Chocó,2025,85419.0,593106.0,0.14401978735672882,0.5384586922773076,-73.25
Cundinamarca,2021,1496812.0,3242668.0,0.4615989055925553,0.4825325455933578,-4.34
Cundinamarca,2022,1328130.0,3316583.0,0.40045130786716326,0.49466079606957686,-19.05
Cundinamarca,2023,1375712.0,3388483.0,0.40599642967074057,0.46865888333774874,-13.37
Cundinamarca,2024,1430787.0,3463004.0,0.41316354240422476,0.48624599164925736,-15.03
Cundinamarca,2025,1897069.0,3535067.0,0.5366430112922895,0.5384586922773076,-0.34
Córdoba,2021,535159.0,1890862.0,0.283023827228005,0.4825325455933578,-41.35
Córdoba,2022,396407.0,1917742.0,0.20670507294516155,0.49466079606957686,-58.21
Córdoba,2023,496900.0,1943751.0,0.25563973986379945,0.46865888333774874,-45.45
Córdoba,2024,568082.0,1969108.0,0.2884971266177376,0.48624599164925736,-40.67
Córdoba,2025,587863.0,1992907.0,0.29497763819385453,0.5384586922773076,-45.22
Guainía,2021,11703.0,53485.0,0.2188090118724876,0.4825325455933578,-54.65
Guainía,2022,11422.0,55129.0,0.20718678009758928,0.49466079606957686,-58.12
Guainía,2023,11301.0,56697.0,0.19932271548759192,0.46865888333774874,-57.47
Guainía,2024,17045.0,58240.0,0.2926682692307692,0.48624599164925736,-39.81
Guainía,2025,17933.0,59706.0,0.300355073191974,0.5384586922773076,-44.22
Guaviare,2021,118202.0,83885.0,1.4090957858973594,0.4825325455933578,192.02
Guaviare,2022,135475.0,84107.0,1.6107458356617166,0.49466079606957686,225.63
Guaviare,2023,142651.0,84318.0,1.691821437889893,0.46865888333774874,260.99
Guaviare,2024,90154.0,84550.0,1.0662803075103489,0.48624599164925736,119.29
Guaviare,2025,114669.0,84696.0,1.3538892037404364,0.5384586922773076,151.44
Huila,2021,560302.0,1151482.0,0.4865920613609244,0.4825325455933578,0.84
Huila,2022,639346.0,1166143.0,0.5482569461892752,0.49466079606957686,10.83
Huila,2023,618953.0,1179882.0,0.5245888995679229,0.46865888333774874,11.93
Huila,2024,638102.0,1194754.0,0.5340865148808877,0.48624599164925736,9.84
Huila,2025,710576.0,1208728.0,0.5878708857575898,0.5384586922773076,9.18
La Guajira,2021,96303.0,986573.0,0.09761365859394085,0.4825325455933578,-79.77
La Guajira,2022,100996.0,1007580.0,0.10023620953174935,0.49466079606957686,-79.74
