Departamento,Año,Compraventa,Hipotecas,Cancelaciones de Hipotecas,Vivienda de InterÃ©s Social,Vivienda de InterÃ©s Prioritario,Vivienda de InterÃ©s Prioritario para Ahorradores,Sucesiones,Permutas,Otras  - Bien Inmueble,Contratos por Arrendamientos,Fiducia Mercantil,Leasing,ConstituciÃ³n de Sociedades,LiquidaciÃ³n de Sociedades,Reforma de Sociedad Comercial,Matrimonios Civiles,Matrimonios Civiles entre Personas del Mismo Sexo,Divorcios,Disoluciones de Uniones Maritales de Hecho,Disoluciones y/o Liquidaciones de sociedades conyugales,Correcciones del Registro Civil,Cambios de Nombre,LegitimaciÃ³n de Hijos,Capitulaciones Matrimoniales,Uniones entre Personas del Mismo Sexo,Actas de Comparecencia,Autenticaciones,Declaraciones Extra Juicio,Declaraciones de Supervivencia,Conciliaciones,Remates de Inmuebles,Copias del Registro Civil,Registros Civiles de Nacimiento,Registros Civiles de Matrimonio,Registros Civiles de DefunciÃ³n,CorrecciÃ³n del componente Sexo de Masculino a Femenino,Procedimientos Sobre Insolvencia EconÃ³mica
Boyacá,2023,29429.0,1539.0,2694.0,1841.0,53.0,0.0,2782.0,25.0,7434.0,62.0,66.0,47.0,9.0,31.0,30.0,1033.0,5.0,507.0,62.0,460.0,2086.0,467.0,31.0,65.0,1.0,751.0,504044.0,35299.0,2.0,124.0,0.0,60129.0,3851.0,1807.0,4404.0,4.0,1.0
Boyacá,2024,29933.0,1989.0,2851.0,1780.0,117.0,51.0,2831.0,54.0,6548.0,48.0,45.0,100.0,21.0,28.0,36.0,982.0,11.0,535.0,64.0,519.0,2294.0,460.0,28.0,67.0,8.0,655.0,501218.0,37622.0,17.0,118.0,0.0,63047.0,2862.0,1573.0,3840.0,6.0,8.0
Boyacá,2025,31401.0,2269.0,3118.0,1653.0,167.0,39.0,2891.0,48.0,7169.0,22.0,57.0,93.0,3.0,14.0,35.0,1069.0,20.0,546.0,76.0,591.0,2297.0,439.0,14.0,81.0,1.0,719.0,502778.0,37102.0,0.0,90.0,4.0,55646.0,3856.0,1849.0,3781.0,11.0,11.0
Boyacá,2026,6848.0,439.0,720.0,382.0,41.0,0.0,312.0,2.0,1454.0,0.0,8.0,4.0,2.0,2.0,140.0,311.0,5.0,142.0,13.0,99.0,590.0,148.0,2.0,11.0,0.0,221.0,166334.0,106957.0,0.0,12.0,0.0,17933.0,695.0,536.0,1194.0,0.0,3.0
Caldas,2021,15410.0,1804.0,3615.0,763.0,4.0,0.0,1508.0,41.0,4240.0,1.0,242.0,8.0,12.0,42.0,74.0,993.0,25.0,709.0,35.0,478.0,1151.0,242.0,42.0,139.0,3.0,607.0,337462.0,19372.0,15.0,91.0,1.0,51144.0,11138.0,2861.0,3092.0,4.0,0.0
Caldas,2022,15505.0,1807.0,3247.0,911.0,20.0,0.0,1613.0,46.0,5132.0,6.0,273.0,3.0,13.0,29.0,95.0,1037.0,24.0,670.0,50.0,436.0,1700.0,318.0,29.0,122.0,8.0,564.0,380065.0,18221.0,22.0,66.0,2.0,55642.0,9090.0,3239.0,3353.0,6.0,0.0
Caldas,2023,12394.0,1854.0,2584.0,1502.0,37.0,1.0,1452.0,35.0,4166.0,3.0,232.0,26.0,5.0,15.0,50.0,989.0,33.0,631.0,48.0,369.0,1489.0,346.0,15.0,138.0,4.0,1627.0,385615.0,17443.0,13.0,39.0,0.0,64786.0,6147.0,2862.0,4072.0,8.0,5.0
Caldas,2024,12560.0,1869.0,2797.0,528.0,136.0,1.0,1421.0,39.0,4313.0,3.0,301.0,9.0,20.0,13.0,48.0,959.0,30.0,551.0,42.0,399.0,1333.0,298.0,13.0,171.0,12.0,1039.0,415899.0,18580.0,15.0,29.0,1.0,49181.0,7983.0,3018.0,4075.0,10.0,1.0
Caldas,2025,13918.0,1554.0,2794.0,1166.0,7.0,0.0,1639.0,53.0,4753.0,2.0,281.0,4.0,16.0,4.0,70.0,982.0,35.0,489.0,44.0,345.0,1311.0,294.0,4.0,162.0,5.0,1155.0,619416.0,21275.0,15.0,15.0,1.0,53709.0,3850.0,2170.0,3203.0,9.0,0.0
Caldas,2026,3669.0,575.0,1052.0,153.0,0.0,0.0,306.0,8.0,1206.0,0.0,53.0,2.0,7.0,1.0,15.0,301.0,13.0,162.0,17.0,103.0,406.0,92.0,1.0,48.0,2.0,248.0,157589.0,8397.0,2.0,4.0,0.0,18936.0,1162.0,654.0,1047.0,3.0,0.0
