Departamento,total_actos,Compraventa,grp_inmobiliario,grp_autenticaciones,grp_registro_civil,grp_familia,grp_sociedades,Poblacion,PIB_miles_millones,IPM,actos_per_capita,compraventas_per_capita,PIB_per_capita,pct_inmobiliario,pct_autenticaciones,pct_registro_civil,pct_familia,pct_sociedades,iian_a_pc,iian_b_pc,iian_c_pc,iian_a_desv_pct,iian_a_pos,iian_b_desv_pct,iian_b_pos,iian_c_desv_pct,iian_c_pos,clasificacion,clasificacion_b,clasificacion_c,desviacion_pct,posicion
Cesar,502404.0,10922.0,18685.0,439862.0,31855.0,4494.0,341.0,1469159.0,31092.175529004686,14.8,0.342,0.007434,21163247.0,3.72,87.55,6.34,0.89,0.07,0.342,0.0426,0.012718,-36.49,19,-32.43,17,-27.33,20,Baja intensidad,Baja intensidad,Baja intensidad,-36.49,19
Caquetá,136119.0,5631.0,7827.0,114595.0,8448.0,2289.0,398.0,429041.0,6831.025788023121,15.0,0.3173,0.013125,15921615.0,5.75,84.19,6.21,1.68,0.29,0.3173,0.0502,0.018243,-41.07,20,-20.37,16,4.24,16,Baja intensidad,Baja intensidad,Promedio,-41.07,20
Nariño,527009.0,19141.0,28618.0,412376.0,55435.0,5646.0,951.0,1713586.0,25834.937958134782,13.2,0.3075,0.01117,15076534.0,5.43,78.25,10.52,1.07,0.18,0.3075,0.0669,0.016701,-42.89,21,6.11,14,-4.57,18,Baja intensidad,Promedio,Promedio,-42.89,21
Guainía,17933.0,147.0,215.0,17661.0,5.0,33.0,1.0,59706.0,605.4667842883943,51.8,0.3004,0.002462,10140803.0,1.2,98.48,0.03,0.18,0.01,0.3004,0.0046,0.003601,-44.21,22,-92.7,32,-79.42,30,Baja intensidad,Muy baja intensidad,Muy baja intensidad,-44.21,22
Córdoba,587863.0,11386.0,18749.0,521323.0,30201.0,5200.0,580.0,1992907.0,30952.49332747908,19.8,0.295,0.005713,15531329.0,3.19,88.68,5.14,0.88,0.1,0.295,0.0334,0.009408,-45.21,23,-47.02,22,-46.24,24,Baja intensidad,Baja intensidad,Baja intensidad,-45.21,23
Cauca,462314.0,12632.0,18248.0,395865.0,28009.0,4847.0,364.0,1599148.0,31102.85861244642,13.0,0.2891,0.007899,19449644.0,3.95,85.63,6.06,1.05,0.08,0.2891,0.0416,0.011411,-46.31,24,-34.02,18,-34.8,21,Baja intensidad,Baja intensidad,Baja intensidad,-46.31,24
Magdalena,349680.0,8305.0,13666.0,293221.0,29357.0,5155.0,1024.0,1544507.0,24025.85173466969,17.6,0.2264,0.005377,15555677.0,3.91,83.85,8.4,1.47,0.29,0.2264,0.0366,0.008848,-57.95,25,-41.95,20,-49.44,26,Muy baja intensidad,Baja intensidad,Baja intensidad,-57.95,25
Sucre,225072.0,6742.0,9584.0,192472.0,13636.0,2976.0,283.0,1034102.0,13769.537650597222,25.4,0.2176,0.00652,13315454.0,4.26,85.52,6.06,1.32,0.13,0.2176,0.0315,0.009268,-59.59,26,-50.04,24,-47.04,25,Muy baja intensidad,Muy baja intensidad,Baja intensidad,-59.59,26
Amazonas,17102.0,356.0,679.0,14117.0,2075.0,119.0,8.0,85057.0,1330.5588016900433,18.1,0.2011,0.004185,15643143.0,3.97,82.55,12.13,0.7,0.05,0.2011,0.0351,0.007983,-62.65,27,-44.33,21,-54.39,27,Muy baja intensidad,Baja intensidad,Muy baja intensidad,-62.65,27
Chocó,85419.0,1656.0,2813.0,68082.0,7023.0,1014.0,41.0,593106.0,7581.9457507894585,30.8,0.144,0.002792,12783458.0,3.29,79.7,8.22,1.19,0.05,0.144,0.0292,0.004743,-73.26,28,-53.68,26,-72.9,29,Muy baja intensidad,Muy baja intensidad,Muy baja intensidad,-73.26,28
Putumayo,42405.0,3138.0,4327.0,35371.0,870.0,1061.0,83.0,390742.0,6091.238784725085,13.6,0.1085,0.008031,15588902.0,10.2,83.41,2.05,2.5,0.2,0.1085,0.018,0.011074,-79.85,29,-71.45,29,-36.72,22,Muy baja intensidad,Muy baja intensidad,Baja intensidad,-79.85,29
La Guajira,104086.0,4242.0,5961.0,82884.0,8744.0,1867.0,89.0,1066679.0,17617.635117454578,40.1,0.0976,0.003977,16516342.0,5.73,79.63,8.4,1.79,0.09,0.0976,0.0199,0.005588,-81.87,30,-68.44,28,-68.07,28,Muy baja intensidad,Muy baja intensidad,Muy baja intensidad,-81.87,30
Vaupés,4246.0,15.0,20.0,3622.0,542.0,17.0,1.0,44142.0,471.8920343556026,41.7,0.0962,0.00034,10690318.0,0.47,85.3,12.76,0.4,0.02,0.0962,0.0141,0.000453,-82.13,31,-77.64,30,-97.41,33,Muy baja intensidad,Muy baja intensidad,Muy baja intensidad,-82.13,31
"Archipiélago De San Andrés, Providencia Y Santa Catalina",5373.0,67.0,71.0,5259.0,0.0,37.0,8.0,63438.0,,,0.0847,0.001056,,1.32,97.88,0.0,0.69,0.15,0.0847,0.0018,0.001119,-84.27,32,-97.14,33,-93.61,32,Muy baja intensidad,Muy baja intensidad,Muy baja intensidad,-84.27,32
Vichada,12077.0,373.0,533.0,11327.0,34.0,92.0,20.0,148738.0,1167.185810716704,55.2,0.0812,0.002508,7847260.0,4.41,93.79,0.28,0.76,0.17,0.0812,0.005,0.003583,-84.92,33,-92.07,31,-79.53,31,Muy baja intensidad,Muy baja intensidad,Muy baja intensidad,-84.92,33
